time,hip.x,hip.y,hip.z,abdomen.x,abdomen.y,abdomen.z,chest.x,chest.y,chest.z,neck.x,neck.y,neck.z,head.x,head.y,head.z,leftEye.x,leftEye.y,leftEye.z,leftEye_End.x,leftEye_End.y,leftEye_End.z,rightEye.x,rightEye.y,rightEye.z,rightEye_End.x,rightEye_End.y,rightEye_End.z,rCollar.x,rCollar.y,rCollar.z,rShldr.x,rShldr.y,rShldr.z,rForeArm.x,rForeArm.y,rForeArm.z,rHand.x,rHand.y,rHand.z,rThumb1.x,rThumb1.y,rThumb1.z,rThumb2.x,rThumb2.y,rThumb2.z,rThumb2_End.x,rThumb2_End.y,rThumb2_End.z,rIndex1.x,rIndex1.y,rIndex1.z,rIndex2.x,rIndex2.y,rIndex2.z,rIndex2_End.x,rIndex2_End.y,rIndex2_End.z,rMid1.x,rMid1.y,rMid1.z,rMid2.x,rMid2.y,rMid2.z,rMid2_End.x,rMid2_End.y,rMid2_End.z,rRing1.x,rRing1.y,rRing1.z,rRing2.x,rRing2.y,rRing2.z,rRing2_End.x,rRing2_End.y,rRing2_End.z,rPinky1.x,rPinky1.y,rPinky1.z,rPinky2.x,rPinky2.y,rPinky2.z,rPinky2_End.x,rPinky2_End.y,rPinky2_End.z,lCollar.x,lCollar.y,lCollar.z,lShldr.x,lShldr.y,lShldr.z,lForeArm.x,lForeArm.y,lForeArm.z,lHand.x,lHand.y,lHand.z,lThumb1.x,lThumb1.y,lThumb1.z,lThumb2.x,lThumb2.y,lThumb2.z,lThumb2_End.x,lThumb2_End.y,lThumb2_End.z,lIndex1.x,lIndex1.y,lIndex1.z,lIndex2.x,lIndex2.y,lIndex2.z,lIndex2_End.x,lIndex2_End.y,lIndex2_End.z,lMid1.x,lMid1.y,lMid1.z,lMid2.x,lMid2.y,lMid2.z,lMid2_End.x,lMid2_End.y,lMid2_End.z,lRing1.x,lRing1.y,lRing1.z,lRing2.x,lRing2.y,lRing2.z,lRing2_End.x,lRing2_End.y,lRing2_End.z,lPinky1.x,lPinky1.y,lPinky1.z,lPinky2.x,lPinky2.y,lPinky2.z,lPinky2_End.x,lPinky2_End.y,lPinky2_End.z,rButtock.x,rButtock.y,rButtock.z,rThigh.x,rThigh.y,rThigh.z,rShin.x,rShin.y,rShin.z,rFoot.x,rFoot.y,rFoot.z,rFoot_End.x,rFoot_End.y,rFoot_End.z,lButtock.x,lButtock.y,lButtock.z,lThigh.x,lThigh.y,lThigh.z,lShin.x,lShin.y,lShin.z,lFoot.x,lFoot.y,lFoot.z,lFoot_End.x,lFoot_End.y,lFoot_End.z
   0.00000,  70.12860,  84.34210,  13.81000,  70.12860, 105.03020,  13.07848,  70.35197, 116.73233,  12.58996,  70.89473, 138.91481,  10.39253,  70.82118, 145.99018,  11.61046,  75.14939, 153.93505,  19.66209,  76.14910, 153.91074,  19.66352,  67.34883, 154.12481,  19.65088,  68.34853, 154.10049,  19.65232,  68.14597, 136.05446,   7.70682,  59.32080, 134.31802,   9.15751,  31.11264, 133.29226,   9.60495,   8.54012, 134.61570,  16.64377,   7.30453, 134.15814,  20.05584,   3.91754, 133.71633,  23.46483,   2.10456, 132.57813,  24.89291,   0.79774, 135.74334,  22.24082,  -1.76582, 134.92147,  23.80267,  -3.33605, 134.39931,  24.94956,   0.31929, 135.99860,  20.04553,  -2.79732, 135.48427,  21.10585,  -5.27256, 135.07595,  21.93860,  -0.27436, 135.37716,  18.14780,  -2.90283, 134.62107,  18.12431,  -5.16760, 133.96730,  18.28659,   0.27005, 134.76901,  16.17350,  -1.57148, 134.16614,  15.46998,  -3.25287, 133.61619,  14.86100,  73.50886, 135.92401,   7.71452,  82.23496, 133.76062,   9.19042, 110.35848, 131.36456,   9.71878, 132.94835, 131.58940,  16.82246, 134.15044, 131.07254,  20.23803, 137.50214, 130.46680,  23.65670, 139.25352, 129.24190,  25.08990, 140.72030, 132.33964,  22.44180, 143.23638, 131.39420,  24.01094, 144.77606, 130.79639,  25.16230, 141.21690, 132.57118,  20.24791, 144.30176, 131.90600,  21.31714, 146.75181, 131.37787,  22.15696, 141.78507, 131.92148,  18.35185, 144.37373, 131.03848,  18.33585, 146.60356, 130.27537,  18.50459, 141.21741, 131.34038,  16.37595, 143.02947, 130.64864,  15.67767, 144.68386, 130.01754,  15.07348,  61.35036,  88.69294,  15.02920,  61.35036,  86.98607,  12.83464,  61.14352,  50.21193,  14.79941,  61.62034,   4.85083,  12.83803,  60.44797,   1.16801,  24.94140,  78.90684,  88.69294,  15.02920,  78.90684,  86.98607,  12.83464,  78.05348,  50.42854,  17.20029,  76.25005,   5.26895,  12.83414,  77.32164,   1.55360,  24.93690
   0.00833,  64.88490,  82.26630,   7.19339,  63.42925, 102.88753,   8.27905,  62.79501, 114.55819,   9.06761,  63.53372, 136.78341,  10.70447,  61.95220, 143.77921,  11.03200,  53.43053, 150.61954,  16.25446,  53.50087, 150.55326,  17.24978,  52.88172, 151.13670,   8.48810,  52.95205, 151.07042,   9.48342,  66.18952, 134.26645,   7.61224,  64.19474, 132.88748,  -1.16971,  59.83813, 133.24900, -29.05953,  43.62627, 138.68242, -45.44454,  39.98195, 138.67041, -45.13299,  35.44963, 139.16859, -46.71351,  33.25539, 138.54135, -47.90250,  35.53609, 141.80379, -49.60976,  32.95385, 141.66261, -51.34146,  31.19852, 141.56619, -52.32287,  37.34685, 142.06648, -50.93849,  35.02862, 142.32972, -53.31727,  33.19591, 142.53852, -55.21057,  38.72082, 141.51630, -52.40461,  37.54626, 141.38500, -54.87124,  36.36980, 141.27757, -56.91754,  40.63783, 140.71386, -52.89982,  40.42260, 140.52085, -54.94092,  40.19616, 140.34655, -56.78989,  66.59657, 133.86011,  12.94579,  65.93397, 131.15130,  21.61912,  65.62187, 128.84588,  49.75345,  52.74649, 131.76548,  69.41345,  49.12964, 131.37128,  69.78931,  44.96971, 131.23156,  72.23135,  43.12083, 130.26979,  73.74080,  45.37469, 133.61930,  75.30946,  43.20793, 133.05212,  77.47051,  41.69663, 132.68180,  78.74819,  47.37821, 133.97538,  76.29563,  45.55812, 133.78642,  79.08016,  44.12165, 133.63671,  81.29401,  49.05900, 133.46649,  77.41632,  48.40955, 133.00752,  80.03331,  47.67341, 132.60565,  82.24228,  51.10285, 132.84623,  77.46138,  51.31191, 132.46744,  79.47693,  51.47052, 132.12132,  81.30871,  62.77594,  86.88491,  -1.27387,  65.13553,  85.42692,  -1.46381,  62.60888,  48.74778,  -3.58446,  72.27971,   4.40469,  -4.95172,  60.90200,  -0.34617,  -8.01867,  63.65429,  86.02487,  16.23952,  66.01388,  84.56688,  16.04958,  62.03112,  47.98282,  14.64087,  73.46396,   4.27548,  10.09522,  62.18803,  -0.73651,  13.12217
   0.01667,  64.88710,  82.20500,   7.04653,  63.42967, 102.82543,   8.14487,  62.90561, 114.50446,   8.88927,  64.56424, 136.68290,  10.48657,  63.38380, 143.75976,  10.75885,  54.97062, 150.63107,  16.11485,  55.06251, 150.57204,  17.10886,  54.25361, 151.09164,   8.35864,  54.34550, 151.03261,   9.35266,  67.02588, 134.06493,   7.31847,  64.71765, 132.76893,  -1.39909,  57.61873, 133.40443, -28.71491,  35.41999, 138.31792, -35.33979,  32.36582, 138.54699, -33.34033,  27.66612, 139.35512, -32.60013,  25.13666, 138.88230, -32.59188,  26.53101, 141.99525, -35.26119,  23.43332, 142.03638, -35.56007,  21.42036, 142.06276, -35.59088,  27.50786, 142.14431, -37.29513,  24.36019, 142.57506, -38.29946,  21.86576, 142.91637, -39.10467,  27.98602, 141.51221, -39.22174,  25.77708, 141.47361, -40.83424,  23.76715, 141.45654, -42.07635,  29.38591, 140.58667, -40.54377,  28.21753, 140.42012, -42.23398,  27.13153, 140.27190, -43.75021,  67.57548, 133.64073,  12.63783,  67.06594, 130.95642,  21.32910,  65.35073, 130.42697,  49.50232,  46.15146, 134.76314,  62.67050,  42.62668, 134.42834,  61.75281,  37.86584, 134.58509,  62.52606,  35.55734, 133.80958,  63.35746,  37.24658, 137.30815,  65.27225,  34.42569, 137.00048,  66.55077,  32.54165, 136.78470,  67.22713,  38.77684, 137.76723,  66.87253,  36.07253, 137.90539,  68.81408,  33.93236, 138.01572,  70.36151,  39.91910, 137.38367,  68.57198,  38.35421, 137.22996,  70.80997,  36.85743, 137.08658,  72.63261,  41.78069, 136.76489,  69.41795,  41.23559, 136.61868,  71.40067,  40.71086, 136.48407,  73.19144,  62.77222,  86.82818,  -1.41676,  65.13186,  85.37058,  -1.60902,  58.03894,  49.35353,  -4.55907,  70.68840,   5.74548,  -4.74095,  60.08648,   1.22852, -10.09122,  63.66177,  85.95827,  16.09558,  66.02142,  84.50067,  15.90331,  58.56194,  48.43936,  16.32553,  72.41889,   5.49808,  11.25251,  61.67764,   0.60698,  15.95698
   0.02500,  64.88710,  82.13270,   6.88691,  63.43031, 102.75253,   7.99726,  63.00144, 114.43819,   8.69728,  65.47581, 136.54575,  10.22006,  64.65363, 143.67543,  10.42322,  56.33579, 150.57968,  15.88472,  56.44606, 150.52778,  16.87727,  55.47536, 150.98461,   8.14000,  55.58563, 150.93272,   9.13255,  67.76309, 133.84136,   6.99439,  65.19050, 132.62223,  -1.66002,  55.77624, 133.68400, -28.25319,  32.23059, 134.20260, -25.77351,  30.16958, 134.37874, -22.75698,  26.04866, 134.84491, -20.28944,  23.79412, 134.15433, -19.25891,  23.66485, 137.06699, -22.46197,  20.70888, 136.80141, -21.52474,  18.85052, 136.64640, -20.76573,  23.76354, 137.07799, -24.72107,  20.44388, 137.11645, -24.43748,  17.80960, 137.14587, -24.22128,  23.54343, 136.28332, -26.63419,  20.90914, 135.87337, -27.24534,  18.59598, 135.54289, -27.59609,  24.43482, 135.34577, -28.33434,  22.73956, 134.89252, -29.41616,  21.18395, 134.48375, -30.37184,  68.43226, 133.40110,  12.29874,  68.04964, 130.74111,  21.00399,  65.20453, 131.93543,  49.06520,  42.50392, 133.97093,  55.49593,  39.47149, 133.31622,  53.55840,  34.70730, 133.07142,  52.82991,  32.32242, 132.11201,  52.94681,  33.06148, 135.77495,  55.13691,  30.01656, 135.24434,  55.50243,  28.03847, 134.87681,  55.57813,  33.98278, 136.39135,  57.10786,  30.80918, 136.32580,  58.12077,  28.29418, 136.27509,  58.93270,  34.57104, 136.13632,  59.09001,  32.40883, 135.88388,  60.74597,  30.43855, 135.64085,  62.02733,  36.12286, 135.69552,  60.49058,  35.00563, 135.53496,  62.21560,  33.96603, 135.38459,  63.76381,  62.77825,  86.76136,  -1.57489,  65.13793,  85.30372,  -1.76648,  54.21692,  50.40303,  -6.11545,  69.37253,   7.62153,  -4.79071,  59.83048,   3.39951, -12.04005,  63.65591,  85.88035,  15.93749,  66.01559,  84.42271,  15.74590,  55.65205,  49.17387,  18.26712,  71.53011,   7.03789,  12.42328,  61.43809,   2.33200,  18.54168
   0.03333,  64.88900,  82.05970,   6.71661,  63.43165, 102.67805,   7.85345,  63.05805, 114.36725,   8.52537,  66.08522, 136.41050,   9.98029,  65.51078, 143.56570,  10.13116,  57.26655, 150.49670,  15.66985,  57.39053, 150.45017,  16.66104,  56.29912, 150.85975,   7.93569,  56.42311, 150.81322,   8.92688,  68.24715, 133.65074,   6.71531,  65.48572, 132.48853,  -1.88859,  54.56379, 133.95698, -27.87912,  32.44070, 129.88261, -20.47754,  31.03952, 129.94432, -17.09950,  27.49084, 129.93248, -13.82921,  25.64207, 128.97208, -12.31874,  24.37656, 131.59938, -15.52119,  21.76118, 130.94189, -13.96744,  20.14961, 130.55211, -12.82526,  24.00844, 131.46871, -17.74847,  20.85794, 131.00870, -16.76623,  18.35628, 130.64196, -15.99538,  23.53807, 130.51851, -19.54176,  20.94077, 129.66139, -19.56332,  18.69314, 128.95073, -19.40178,  24.20717, 129.61562, -21.35867,  22.42671, 128.82957, -22.03820,  20.79929, 128.11787, -22.62585,  69.00423, 133.19752,  12.00673,  68.72052, 130.55205,  20.72018,  65.29369, 132.99222,  48.63532,  41.77572, 131.68192,  51.08548,  39.21814, 130.69957,  48.66225,  34.71144, 129.90543,  47.13023,  32.47183, 128.67085,  46.84432,  32.38793, 132.36749,  49.09991,  29.40957, 131.47798,  48.94248,  27.50508, 130.87948,  48.68103,  32.87927, 133.06315,  51.19467,  29.60942, 132.61218,  51.64936,  27.01643, 132.25590,  52.01877,  33.14574, 132.85420,  53.25023,  30.77727, 132.32849,  54.51319,  28.65950, 131.83939,  55.43989,  34.47614, 132.58138,  54.89938,  33.10718, 132.26891,  56.40868,  31.84320, 131.97791,  57.75701,  62.77622,  86.69885,  -1.73846,  65.13588,  85.24158,  -1.93290,  51.74081,  51.40942,  -7.60716,  68.55090,   9.31162,  -4.98027,  59.92468,   5.35277, -13.42685,  63.66157,  85.79593,  15.77242,  66.02124,  84.33866,  15.57797,  53.76001,  49.87986,  19.87837,  70.96931,   8.38489,  13.26688,  61.42875,   3.83990,  20.32025
   0.04167,  64.87930,  81.96400,   6.52891,  63.42369, 102.58119,   7.68885,  63.05263, 114.27126,   8.34689,  66.27208, 136.28963,   9.76535,  65.79497, 143.45234,   9.89793,  57.58163, 150.40724,  15.45251,  57.71050, 150.36421,  16.44324,  56.57604, 150.74305,   7.72199,  56.70492, 150.70001,   8.71271,  68.38712, 133.51022,   6.48635,  65.55302, 132.36582,  -2.09628,  54.21754, 134.01924, -27.89794,  32.87618, 128.04741, -19.54938,  31.64362, 127.94367, -16.10724,  28.27189, 127.61035, -12.67090,  26.57509, 126.48878, -11.09459,  24.96455, 129.07404, -14.17395,  22.48423, 128.19722, -12.51086,  20.96395, 127.66885, -11.30123,  24.49680, 128.95751, -16.38325,  21.44073, 128.24866, -15.26077,  19.01370, 127.68450, -14.37857,  24.00832, 128.00833, -18.17222,  21.48234, 126.96270, -18.08750,  19.30312, 126.08552, -17.83353,  24.65028, 127.19070, -20.03863,  22.90015, 126.28821, -20.64871,  21.30161, 125.46944, -21.17280,  69.17932, 133.05386,  11.77235,  68.93787, 130.41589,  20.48936,  65.54318, 133.35593,  48.36022,  42.09606, 130.51792,  50.09039,  39.67616, 129.38968,  47.59051,  35.27245, 128.33908,  45.91967,  33.11680, 126.97878,  45.56669,  32.75174, 130.66641,  47.80902,  29.83523, 129.60867,  47.56035,  27.97706, 128.90251,  47.24072,  33.13644, 131.39054,  49.91639,  29.88483, 130.75451,  50.26925,  27.30594, 130.25148,  50.55790,  33.34943, 131.19870,  51.97983,  30.97606, 130.53999,  53.16908,  28.86138, 129.93185,  54.03003,  34.64055, 131.00334,  53.67067,  33.24469, 130.61463,  55.13701,  31.95743, 130.25319,  56.44570,  62.76473,  86.61263,  -1.92050,  65.12425,  85.15540,  -2.11715,  50.78887,  51.81912,  -8.39647,  68.23992,  10.03192,  -5.08072,  60.01715,   6.18616, -13.97033,  63.65440,  85.69033,  15.58914,  66.01392,  84.23310,  15.39250,  52.98048,  50.19219,  20.64474,  70.72605,   8.98879,  13.63916,  61.42264,   4.50105,  21.03752
   0.05000,  64.86880,  81.87020,   6.34918,  63.41283, 102.48606,   7.53193,  63.00469, 114.17500,   8.18810,  66.15628, 136.20337,   9.60384,  65.66834, 143.36513,   9.74766,  57.45354, 150.33959,  15.27551,  57.58092, 150.29851,  16.26652,  56.45966, 150.66011,   7.54283,  56.58704, 150.61903,   8.53383,  68.28182, 133.42970,   6.32677,  65.45662, 132.27485,  -2.25740,  54.46747, 133.92144, -28.20889,  32.62397, 128.26924, -21.01656,  31.25674, 127.95941, -17.63826,  27.74941, 127.45386, -14.36241,  25.97806, 126.25778, -12.92939,  24.52239, 129.06360, -15.89052,  21.96795, 128.11812, -14.38466,  20.39493, 127.53519, -13.27137,  24.13979, 129.09917, -18.11891,  21.03335, 128.36555, -17.16294,  18.56667, 127.78232, -16.41305,  23.70934, 128.27678, -19.98395,  21.16873, 127.26690, -20.06475,  18.97015, 126.40867, -19.95248,  24.41310, 127.57329, -21.87443,  22.67665, 126.73976, -22.60901,  21.08938, 125.98179, -23.24653,  69.07207, 132.97688,  11.61337,  68.83316, 130.34006,  20.33079,  65.88901, 133.22725,  48.25835,  42.53731, 130.63936,  51.22755,  39.98445, 129.49936,  48.86926,  35.49403, 128.45807,  47.44098,  33.31539, 127.10736,  47.21538,  33.08800, 130.82092,  49.43296,  30.15664, 129.77853,  49.34772,  28.28044, 129.08044,  49.13279,  33.58577, 131.56515,  51.50942,  30.35340, 130.95294,  52.03762,  27.79024, 130.46889,  52.46530,  33.90468, 131.39407,  53.56101,  31.59270, 130.76273,  54.87907,  29.52228, 130.17684,  55.85529,  35.28084, 131.20886,  55.18458,  33.96095, 130.84444,  56.72560,  32.74147, 130.50493,  58.10326,  62.75260,  86.52800,  -2.09477,  65.11212,  85.07106,  -2.29343,  50.82773,  51.70558,  -8.53369,  68.26250,   9.92414,  -5.06321,  60.01217,   6.05873, -13.91870,  63.64541,  85.58659,  15.41370,  66.00493,  84.12964,  15.21504,  52.92413,  50.14953,  20.73634,  70.70015,   8.96905,  13.67337,  61.37524,   4.44356,  21.02150
   0.05833,  64.85710,  81.76600,   6.16635,  63.40095, 102.38052,   7.37206,  62.93980, 114.06734,   8.03083,  65.92101, 136.11878,   9.45630,  65.37772, 143.27607,   9.62281,  57.15048, 150.26986,  15.10754,  57.27379, 150.23002,  16.09911,  56.18828, 150.58079,   7.37046,  56.31160, 150.54094,   8.36203,  68.07951, 133.36091,   6.18746,  65.29517, 132.18437,  -2.40710,  54.95865, 133.75084, -28.63028,  32.27970, 129.19093, -23.56197,  30.63296, 128.66642, -20.33840,  26.85593, 128.04469, -17.39976,  24.93320, 126.81175, -16.21453,  23.82212, 129.90609, -19.03418,  21.12229, 128.94953, -17.81657,  19.44463, 128.34474, -16.88205,  23.62298, 130.13762, -21.27474,  20.42536, 129.45954, -20.62863,  17.88699, 128.92117, -20.12478,  23.31651, 129.48738, -23.23005,  20.75684, 128.59436, -23.59299,  18.52755, 127.82246, -23.72475,  24.14604, 128.91022, -25.11229,  22.44661, 128.21206, -26.04726,  20.89058, 127.57508, -26.86785,  68.85336, 132.91436,  11.47702,  68.60160, 130.27638,  20.19373,  66.27405, 132.89116,  48.20619,  43.19442, 131.15273,  53.21855,  40.41817, 130.04703,  51.10949,  35.79595, 129.10305,  50.09360,  33.57330, 127.80635,  50.07975,  33.63191, 131.55470,  52.24915,  30.67950, 130.58765,  52.43559,  28.77507, 129.93559,  52.39567,  34.32719, 132.31426,  54.26236,  31.13914, 131.79343,  55.07914,  28.61193, 131.38199,  55.73559,  34.81960, 132.16318,  56.28095,  32.61662, 131.61022,  57.80482,  30.62548, 131.09173,  58.96648,  36.32722, 131.96468,  57.78155,  35.13826, 131.65584,  59.43704,  34.03567, 131.36707,  60.92070,  62.73937,  86.43307,  -2.27210,  65.09889,  84.97638,  -2.47277,  51.24812,  51.37372,  -8.41055,  68.41149,   9.47514,  -4.99995,  59.95906,   5.53890, -13.63080,  63.63519,  85.47237,  15.23517,  65.99470,  84.01569,  15.03450,  53.13505,  49.95105,  20.55443,  70.75350,   8.68908,  13.57271,  61.30449,   4.08476,  20.71032
   0.06667,  64.84580,  81.65250,   5.97978,  63.38937, 102.26557,   7.20976,  62.88159, 113.95044,   7.86880,  65.74493, 136.01738,   9.29613,  65.16467, 143.17137,   9.47855,  56.93421, 150.18732,  14.93007,  57.05477, 150.14881,  15.92203,  55.99354, 150.48781,   7.18993,  56.11409, 150.44930,   8.18189,  67.92441, 133.27020,   6.03221,  65.16371, 132.07763,  -2.56777,  55.32672, 133.60148, -28.98489,  32.22307, 129.63044, -25.62821,  30.36331, 128.93215, -22.55706,  26.39531, 128.19007, -19.91275,  24.38417, 126.91728, -18.93442,  23.49798, 130.20042, -21.61686,  20.71279, 129.21429, -20.63863,  18.97036, 128.58000, -19.85425,  23.44819, 130.57533, -23.84629,  20.20703, 129.91121, -23.45147,  17.63470, 129.38449, -23.14706,  23.26170, 130.05419, -25.85468,  20.72018, 129.22830, -26.43746,  18.49474, 128.50329, -26.76107,  24.20487, 129.58257, -27.71266,  22.56140, 128.97273, -28.79744,  21.05432, 128.41439, -29.75521,  68.68982, 132.82864,  11.32341,  68.43409, 130.19096,  20.04009,  66.63195, 132.64153,  48.10608,  43.93225, 131.34758,  54.72910,  41.00502, 130.24620,  52.83265,  36.31438, 129.33799,  52.15354,  34.08410, 128.06403,  52.31070,  34.32956, 131.83626,  54.42492,  31.38845, 130.90169,  54.82880,  29.47984, 130.26874,  54.92989,  35.17106, 132.61174,  56.37527,  32.04318, 132.13300,  57.41893,  29.56431, 131.75501,  58.25520,  35.80200, 132.47883,  58.35624,  33.70588, 131.96600,  60.03683,  31.79606, 131.48130,  61.34091,  37.40893, 132.28215,  59.75022,  36.33582, 132.00455,  61.48833,  35.33702, 131.74414,  63.04875,  62.72644,  86.32934,  -2.45285,  65.08596,  84.87295,  -2.65564,  51.46522,  51.14870,  -8.43410,  68.49828,   9.20170,  -4.96589,  59.93232,   5.22190, -13.46381,  63.62543,  85.34828,  15.05313,  65.98495,  83.89189,  14.85034,  53.18947,  49.82990,  20.53337,  70.76729,   8.55092,  13.54979,  61.24885,   3.87908,  20.54995
   0.07500,  64.83620,  81.52760,   5.79235,  63.38023, 102.13924,   7.04663,  62.83653, 113.82270,   7.70207,  65.66175, 135.89517,   9.11975,  65.07354, 143.04835,   9.30818,  56.85400, 150.09231,  14.74003,  56.97368, 150.05539,  15.73215,  55.92012, 150.38037,   6.99859,  56.03980, 150.34345,   7.99072,  67.84453, 133.15059,   5.85585,  65.08192, 131.94992,  -2.74239,  55.51358, 133.47928, -29.25767,  32.29743, 129.51700, -26.78258,  30.34105, 128.71061, -23.79920,  26.29202, 127.86440, -21.31377,  24.25697, 126.55107, -20.44454,  23.44113, 129.91538, -23.04757,  20.63082, 128.88492, -22.19494,  18.86707, 128.21730, -21.48989,  23.46304, 130.36224, -25.26414,  20.21448, 129.67041, -24.99908,  17.63656, 129.12199, -24.79763,  23.34618, 129.90572, -27.29341,  20.83016, 129.08725, -27.98683,  18.62089, 128.36267, -28.40759,  24.35307, 129.49912, -29.13323,  22.74997, 128.91710, -30.29124,  21.27869, 128.38307, -31.31617,  68.61318, 132.71237,  11.14686,  68.36615, 130.07753,  19.86466,  66.95412, 132.52202,  47.95350,  44.53904, 131.26024,  55.48925,  41.54317, 130.13048,  53.72101,  36.83328, 129.19672,  53.23825,  34.61693, 127.91473,  53.49535,  34.92975, 131.70573,  55.56666,  32.01149, 130.76219,  56.09599,  30.11137, 130.12206,  56.27884,  35.84522, 132.50125,  57.47518,  32.76392, 132.01814,  58.64746,  30.32233, 131.63678,  59.58564,  36.55568, 132.38779,  59.43026,  34.53099, 131.88035,  61.19781,  32.67724, 131.39864,  62.58146,  38.21810, 132.20972,  60.76020,  37.21682, 131.94231,  62.54222,  36.28259, 131.69091,  64.14358,  62.71577,  86.21433,  -2.63452,  65.07524,  84.75814,  -2.83933,  51.37566,  51.07423,  -8.66646,  68.48318,   9.17739,  -4.96625,  59.93199,   5.19031, -13.47562,  63.61711,  85.21278,  14.87018,  65.97657,  83.75660,  14.66537,  53.01718,  49.82746,  20.75702,  70.71395,   8.62108,  13.64627,  61.20187,   3.89985,  20.62190
