time,hip.x,hip.y,hip.z,abdomen.x,abdomen.y,abdomen.z,chest.x,chest.y,chest.z,neck.x,neck.y,neck.z,head.x,head.y,head.z,leftEye.x,leftEye.y,leftEye.z,leftEye_End.x,leftEye_End.y,leftEye_End.z,rightEye.x,rightEye.y,rightEye.z,rightEye_End.x,rightEye_End.y,rightEye_End.z,rCollar.x,rCollar.y,rCollar.z,rShldr.x,rShldr.y,rShldr.z,rForeArm.x,rForeArm.y,rForeArm.z,rHand.x,rHand.y,rHand.z,rThumb1.x,rThumb1.y,rThumb1.z,rThumb2.x,rThumb2.y,rThumb2.z,rThumb2_End.x,rThumb2_End.y,rThumb2_End.z,rIndex1.x,rIndex1.y,rIndex1.z,rIndex2.x,rIndex2.y,rIndex2.z,rIndex2_End.x,rIndex2_End.y,rIndex2_End.z,rMid1.x,rMid1.y,rMid1.z,rMid2.x,rMid2.y,rMid2.z,rMid2_End.x,rMid2_End.y,rMid2_End.z,rRing1.x,rRing1.y,rRing1.z,rRing2.x,rRing2.y,rRing2.z,rRing2_End.x,rRing2_End.y,rRing2_End.z,rPinky1.x,rPinky1.y,rPinky1.z,rPinky2.x,rPinky2.y,rPinky2.z,rPinky2_End.x,rPinky2_End.y,rPinky2_End.z,lCollar.x,lCollar.y,lCollar.z,lShldr.x,lShldr.y,lShldr.z,lForeArm.x,lForeArm.y,lForeArm.z,lHand.x,lHand.y,lHand.z,lThumb1.x,lThumb1.y,lThumb1.z,lThumb2.x,lThumb2.y,lThumb2.z,lThumb2_End.x,lThumb2_End.y,lThumb2_End.z,lIndex1.x,lIndex1.y,lIndex1.z,lIndex2.x,lIndex2.y,lIndex2.z,lIndex2_End.x,lIndex2_End.y,lIndex2_End.z,lMid1.x,lMid1.y,lMid1.z,lMid2.x,lMid2.y,lMid2.z,lMid2_End.x,lMid2_End.y,lMid2_End.z,lRing1.x,lRing1.y,lRing1.z,lRing2.x,lRing2.y,lRing2.z,lRing2_End.x,lRing2_End.y,lRing2_End.z,lPinky1.x,lPinky1.y,lPinky1.z,lPinky2.x,lPinky2.y,lPinky2.z,lPinky2_End.x,lPinky2_End.y,lPinky2_End.z,rButtock.x,rButtock.y,rButtock.z,rThigh.x,rThigh.y,rThigh.z,rShin.x,rShin.y,rShin.z,rFoot.x,rFoot.y,rFoot.z,rFoot_End.x,rFoot_End.y,rFoot_End.z,lButtock.x,lButtock.y,lButtock.z,lThigh.x,lThigh.y,lThigh.z,lShin.x,lShin.y,lShin.z,lFoot.x,lFoot.y,lFoot.z,lFoot_End.x,lFoot_End.y,lFoot_End.z
   0.00000, -15.99070,  84.88550,  95.00360, -15.99070, 105.57360,  94.27208, -15.95223, 117.27783,  93.78414, -15.85873, 139.46691,  91.58833, -16.07325, 146.53926,  92.80707, -11.89631, 154.56903, 100.85438, -10.89632, 154.56484, 100.85463, -19.69913, 154.60172, 100.85242, -18.69913, 154.59753, 100.85267, -18.55253, 136.55201,  88.90558, -27.33923, 134.63816,  90.36653, -55.52047, 133.04472,  90.84724, -78.10671, 133.91295,  97.91288, -79.32880, 133.43035, 101.32636, -82.70217, 132.92018, 104.73931, -84.49018, 131.74560, 106.16942, -85.86359, 134.88407, 103.51920, -88.40823, 134.01064, 105.08399, -89.96627, 133.45688, 106.23269, -86.34968, 135.12982, 101.32450, -89.45404, 134.55277, 102.38846, -91.91957, 134.09464, 103.22409, -86.93294, 134.49670,  99.42741, -89.54569, 133.68785,  99.40696, -91.79665, 132.98861,  99.57185, -86.37874, 133.89979,  97.45241, -88.20860, 133.26003,  96.75100, -89.87929, 132.67639,  96.14396, -13.18810, 136.52954,  88.90693,  -4.41847, 134.54214,  90.37228,  23.74819, 132.71266,  90.86713,  46.33735, 133.39164,  97.94412,  47.55364, 132.89882, 101.35821,  50.92091, 132.36042, 104.77285,  52.69829, 131.17090, 106.20385,  54.09928, 134.29775, 103.55433,  56.63573, 133.40303, 105.12040,  58.18850, 132.83625, 106.26988,  54.58852, 134.53941, 101.35988,  57.68740, 133.93638, 102.42539,  60.14859, 133.45761, 103.26226,  55.16741, 133.90142,  99.46308,  57.77329, 133.07072,  99.44394,  60.01823, 132.35264,  99.60996,  54.60922, 133.30918,  97.48780,  56.43400, 132.65410,  96.78731,  58.10005, 132.05648,  96.18110, -24.76894,  89.23634,  96.22280, -24.76894,  87.52947,  94.02824, -24.55346,  50.79156,  96.58168, -23.55276,   5.46849,  94.02787, -24.68357,   1.77156, 106.13089,  -7.21246,  89.23634,  96.22280,  -7.21246,  87.52947,  94.02824,  -7.61122,  50.82932,  97.05816,  -8.84085,   5.54129,  94.02725,  -7.72747,   1.83876, 106.13017
   0.00833, -16.16310,  82.79690,  89.02740, -18.92672, 101.80272,  81.30251, -20.07502, 112.94306,  77.86702, -21.78316, 134.57714,  72.74508, -22.80196, 140.76270,  69.24500, -30.46892, 144.05414,  60.46620, -31.40606, 144.06107,  60.81506, -23.15647, 144.00005,  57.74406, -24.09361, 144.00698,  58.09292, -18.05268, 132.69805,  75.09089, -10.11321, 130.28524,  71.32972,  15.60254, 119.51530,  66.89560,  34.95092, 110.49025,  56.64845,  34.88667, 108.11510,  53.86767,  36.80703, 104.98800,  50.73373,  37.76347, 102.76129,  49.86840,  40.52138, 106.08852,  50.15709,  42.19547, 103.79092,  48.89015,  43.15539, 102.28122,  47.96658,  41.72611, 107.13130,  51.76166,  44.13894, 105.11691,  50.65600,  46.05830, 103.52147,  49.78555,  42.74704, 107.28268,  53.57129,  45.00664, 105.74149,  53.57196,  46.89422, 104.32809,  53.42257,  42.74815, 107.88525,  55.62092,  44.53664, 107.06050,  56.22982,  46.15894, 106.29260,  56.75787, -23.07276, 132.74925,  76.98135, -31.56262, 130.50403,  79.40717, -53.93087, 120.64087,  93.52567, -76.22972, 113.27886,  96.58791, -78.21819, 111.40616,  94.15537, -82.06193, 108.92217,  92.62452, -83.63535, 106.90842,  92.32287, -85.14692, 110.23417,  94.64976, -87.53385, 108.24360,  94.48589, -89.05018, 106.94607,  94.21979, -84.94720, 111.03300,  96.75579, -87.76833, 109.32017,  97.21345, -90.00593, 107.96298,  97.58523, -84.59742, 110.91270,  98.80596, -86.55209, 109.47394, 100.06704, -88.29456, 108.17330, 100.99174, -83.24942, 111.16048, 100.44473, -84.36728, 110.30825, 101.95262, -85.39893, 109.51982, 103.29963,  -8.84182,  86.25416,  83.37763,  -7.95719,  85.65228,  85.94369,  -4.61769,  51.19682,  98.50988,   0.78598,  11.53575, 119.94593,   0.34853,   4.15814, 109.61111, -25.44643,  86.15708,  89.07914, -24.56181,  85.55520,  91.64521, -21.11741,  49.21876,  96.54826, -11.72984,   8.28596, 113.81336, -17.82046,   1.83397, 104.71912
   0.01667, -16.34130,  82.80060,  88.87590, -19.10846, 101.77693,  81.08012, -19.73034, 113.19008,  78.51461, -20.29511, 135.25529,  75.35346, -21.11450, 141.72010,  72.33942, -29.04315, 144.46113,  63.60406, -29.96989, 144.48715,  63.97885, -21.81185, 144.25812,  60.67966, -22.73860, 144.28413,  61.05444, -16.61896, 132.96735,  77.40322,  -8.94358, 130.45269,  73.18796,  11.35495, 110.83562,  72.88280,  27.19727,  94.61473,  66.04770,  26.31558,  91.93537,  63.71920,  27.01166,  87.79416,  61.34139,  27.10191,  85.25174,  60.95439,  30.88031,  87.36855,  60.90269,  31.61920,  84.42928,  60.19459,  31.97588,  82.53049,  59.62800,  32.35580,  88.19896,  62.40160,  33.88301,  85.28641,  61.86613,  35.10028,  82.97766,  61.44789,  33.33081,  88.31835,  64.23875,  34.86989,  86.10386,  64.69520,  36.11204,  84.11021,  64.95088,  33.51777,  89.25935,  66.14758,  34.87025,  87.98385,  67.03840,  36.09021,  86.80415,  67.82601, -21.57289, 133.13444,  79.45462, -30.11040, 131.16663,  81.95304, -45.66864, 113.48437,  97.51683, -65.58503, 101.15246, 100.99195, -67.44939,  99.37797,  98.39319, -70.87871,  96.43605,  96.69820, -72.04105,  94.21686,  96.10998, -73.88170,  96.62285,  99.20564, -75.82143,  94.21893,  98.82447, -77.06761,  92.69082,  98.41758, -73.58071,  97.03398, 101.40877, -75.91907,  94.68190, 101.72785, -77.77291,  92.81598, 101.98979, -72.95651,  96.60986, 103.35054, -74.40624,  94.56102, 104.43757, -75.72028,  92.75496, 105.20852, -71.48879,  96.83742, 104.88615, -72.21209,  95.48914, 106.26767, -72.88489,  94.25140, 107.49881,  -9.03301,  86.22702,  83.19063,  -8.14154,  85.63492,  85.75660,  -5.85532,  51.08605,  98.30210,  -1.39548,  11.72250, 120.49049,  -0.10037,   5.66610, 109.39671, -25.62111,  86.17027,  88.94055, -24.72964,  85.57817,  91.50652, -23.48582,  48.85934,  88.97258, -13.53310,   6.82404, 102.96118, -21.70917,   2.78818,  94.11287
   0.02500, -16.57680,  82.78850,  88.55920, -19.38196, 101.77451,  80.80064, -19.51330, 113.35970,  79.07020, -19.01481, 135.61307,  77.75699, -19.63357, 142.30129,  75.22035, -27.78087, 144.56825,  66.55054, -28.69902, 144.60564,  66.94500, -20.61666, 144.27645,  63.47258, -21.53481, 144.31385,  63.86704, -15.42015, 132.98363,  79.52186,  -7.96816, 130.45633,  74.93014,   4.70439, 105.39960,  77.84893,  14.78530,  84.35197,  73.82549,  12.93294,  81.82001,  71.94502,  12.06710,  77.38517,  70.25071,  11.27338,  74.93742,  70.26893,  15.53689,  75.60333,  69.89619,  15.20238,  72.51791,  69.66174,  14.86732,  70.54967,  69.40212,  17.28049,  76.09313,  71.25020,  17.70469,  72.78893,  71.18441,  18.04752,  70.16836,  71.13842,  18.33076,  76.14447,  73.04861,  19.05247,  73.63173,  73.85256,  19.55946,  71.39544,  74.42257,  18.92160,  77.23812,  74.78612,  19.80723,  75.72516,  75.87068,  20.59543,  74.33099,  76.83783, -20.31744, 133.22177,  81.69845, -28.89291, 131.47387,  84.23013, -37.10435, 108.26327,  98.04291, -54.15116,  91.95379, 100.09780, -55.84602,  90.34561,  97.28364, -58.78456,  87.13834,  95.19403, -59.55272,  84.87673,  94.23650, -61.56567,  86.26723,  97.81064, -63.04441,  83.63575,  97.05214, -64.01006,  81.99023,  96.40916, -61.17704,  86.32352, 100.03756, -63.00153,  83.53584,  99.99182, -64.44705,  81.32299,  99.96410, -60.33573,  85.68690, 101.83392, -61.28727,  83.22853, 102.56334, -62.17593,  81.08824, 103.02420, -58.82199,  85.91913, 103.32347, -59.17057,  84.22637, 104.44717, -59.50206,  82.67738, 105.44271,  -9.27436,  86.24161,  82.88257,  -8.38227,  85.64626,  85.44757,  -6.99189,  50.96552,  97.75826,  -3.28951,  11.83271, 120.48753,  -0.31758,   7.11486, 109.07094, -25.86369,  86.13853,  88.62832, -24.97159,  85.54318,  91.19332, -26.19489,  49.85423,  82.19097, -15.90510,   6.99622,  93.10041, -25.63040,   5.22549,  85.11843
   0.03333, -16.87130,  82.77710,  87.87500, -19.74444, 101.89098,  80.46304, -19.57376, 113.56594,  79.51712, -18.42120, 135.83124,  79.85401, -18.90679, 142.68537,  77.77200, -27.15590, 144.71438,  69.13960, -28.07096, 144.74728,  69.54157, -20.01577, 144.45769,  66.00311, -20.93083, 144.49058,  66.40508, -14.89571, 132.97386,  81.38913,  -7.55035, 130.57840,  76.56100,  -0.97280, 103.51589,  81.17715,   4.20933,  80.53810,  78.73144,   1.69581,  78.40527,  77.14665,  -0.30955,  74.20501,  75.87212,  -1.66712,  72.03422,  76.12993,   2.60227,  71.60690,  75.53862,   1.52133,  68.68862,  75.58180,   0.70754,  66.84867,  75.50444,   4.48795,  71.75328,  76.77802,   4.09915,  68.45016,  76.97877,   3.79734,  65.82935,  77.14391,   5.62207,  71.67818,  78.52391,   5.76256,  69.13142,  79.51152,   5.74806,  66.88728,  80.25080,   6.55864,  72.71875,  80.13765,   7.11504,  71.11909,  81.31287,   7.59887,  69.64948,  82.36478, -19.77038, 133.19248,  83.61791, -28.37848, 131.51247,  86.08397, -31.08944, 105.62249,  97.00697, -45.71944,  87.00205,  96.76692, -47.23554,  85.60713,  93.74469, -49.74215,  82.36280,  91.19924, -50.20724,  80.18328,  89.91269, -52.31363,  80.72545,  93.65823, -53.42575,  78.05344,  92.51359, -54.16555,  76.40189,  91.63113, -51.88633,  80.50379,  95.86768, -53.30263,  77.52358,  95.40455, -54.42397,  75.15702,  95.04541, -50.92357,  79.73250,  97.54643, -51.50435,  77.08296,  97.89811, -52.07355,  74.79364,  98.03218, -49.42394,  79.95266,  99.05199, -49.50623,  78.07917,  99.90809, -49.59466,  76.36790, 100.65915,  -9.55276,  86.38404,  82.31598,  -8.67425,  85.74503,  84.87516,  -7.87200,  50.75884,  96.34523,  -4.59755,  11.56238, 119.03046,  -0.35593,   7.99668, 107.59702, -26.17951,  86.06741,  87.94456, -25.30100,  85.42840,  90.50373, -28.26257,  51.39683,  76.74431, -17.67023,   8.00617,  84.91482, -28.19829,   7.86056,  77.80371
   0.04167, -17.09320,  82.76690,  87.44070, -19.91262, 101.93735,  80.15528, -19.61052, 113.62972,  79.50289, -18.17555, 135.86265,  80.41023, -18.58869, 142.77241,  78.50389, -26.85527, 144.68965,  69.86265, -27.76997, 144.72305,  70.26540, -19.71795, 144.42902,  66.72008, -20.63266, 144.46242,  67.12283, -14.68904, 132.92228,  81.87611,  -7.36727, 130.55750,  76.99729,  -3.30191, 103.12533,  82.27946,  -0.21403,  79.71119,  80.53068,  -2.96512,  77.79271,  79.07150,  -5.40701,  73.77667,  77.97758,  -6.96536,  71.76036,  78.33516,  -2.77535,  70.89298,  77.66331,  -4.13774,  68.09930,  77.82434,  -5.13094,  66.34796,  77.82429,  -0.85371,  70.88792,  78.85521,  -1.56159,  67.64733,  79.17070,  -2.11645,  65.07564,  79.42674,   0.31121,  70.75245,  80.57701,   0.22444,  68.23494,  81.64268,   0.00710,  66.02641,  82.45392,   1.38644,  71.74234,  82.13525,   1.81168,  70.13101,  83.34870,   2.17445,  68.65258,  84.43635, -19.56397, 133.14601,  84.10380, -28.19654, 131.51343,  86.51560, -28.77976, 105.00114,  96.19602, -42.40669,  85.68213,  94.81838, -43.82887,  84.38579,  91.70788, -46.14200,  81.16463,  88.95803, -46.48115,  79.04182,  87.54365, -48.63346,  79.25042,  91.29650, -49.59263,  76.59348,  89.98987, -50.23689,  74.95860,  89.00714, -48.20629,  78.92385,  93.49292, -49.45598,  75.90356,  92.84624, -50.44507,  73.50485,  92.34137, -47.21181,  78.10919,  95.13223, -47.64946,  75.41618,  95.32511, -48.09403,  73.09555,  95.32169, -45.73425,  78.32192,  96.66052, -45.71901,  76.40005,  97.40605, -45.71818,  74.64567,  98.05605,  -9.74563,  86.40640,  81.94152,  -8.87946,  85.74782,  84.49995,  -8.53850,  50.62246,  95.56037,  -5.47820,  11.71360, 118.76467,  -0.70154,   8.45287, 107.45184, -26.39821,  86.06659,  87.49184, -25.53204,  85.40801,  90.05027, -29.25470,  52.18292,  74.60763, -18.59027,   8.65724,  81.92128, -29.36601,   9.10413,  75.20468
   0.05000, -17.17310,  82.76240,  87.21300, -20.06970, 101.92511,  79.93749, -19.89269, 113.61808,  79.25082, -18.69394, 135.87064,  80.00713, -19.15931, 142.77315,  78.08660, -27.41081, 144.59637,  69.41067, -28.32720, 144.62307,  69.81006, -20.26029, 144.38800,  66.29432, -21.17669, 144.41471,  66.69370, -15.18774, 132.97722,  81.51872,  -7.80749, 130.65365,  76.70869,  -3.23598, 103.28963,  81.93020,   0.27078,  79.93020,  80.24057,  -2.42980,  77.95588,  78.76166,  -4.78356,  73.89107,  77.65473,  -6.30537,  71.84542,  78.00291,  -2.09365,  71.05865,  77.36861,  -3.40273,  68.23925,  77.52344,  -4.36161,  66.46889,  77.51831,  -0.18259,  71.09316,  78.57692,  -0.82993,  67.83996,  78.89267,  -1.33680,  65.25841,  79.14897,   0.96992,  70.98349,  80.30888,   0.92302,  68.46667,  81.37868,   0.74175,  66.25578,  82.19235,   2.01224,  71.99692,  81.87432,   2.45833,  70.39635,  83.09451,   2.84046,  68.92721,  84.18811, -20.08041, 133.16629,  83.71044, -28.71255, 131.46152,  86.07332, -29.32649, 105.01899,  95.94087, -42.87544,  85.64717,  94.53601, -44.26146,  84.32612,  91.41960, -46.53663,  81.08008,  88.66734, -46.85498,  78.94696,  87.26367, -49.04684,  79.17413,  90.99248, -49.98477,  76.50580,  89.69365, -50.61410,  74.86257,  88.71519, -48.64163,  78.86336,  93.19535, -49.87591,  75.83522,  92.55582, -50.85285,  73.43034,  92.05667, -47.66196,  78.06249,  94.85029, -48.09392,  75.36954,  95.05652, -48.53181,  73.04766,  95.06392, -46.20101,  78.28965,  96.39240, -46.18806,  76.37280,  97.15082, -46.18899,  74.62278,  97.81245,  -9.83069,  86.44275,  81.73415,  -8.96727,  85.78620,  84.29403,  -8.59997,  50.60922,  95.18831,  -5.15590,  12.24345, 119.22808,  -0.30155,   8.73072, 108.02428, -26.49431,  86.01629,  87.24521, -25.63089,  85.35974,  89.80509, -28.95852,  51.98302,  74.60111, -17.85808,   8.63208,  82.29400, -28.58872,   8.86802,  75.49497
   0.05833, -17.40760,  82.72250,  86.93040, -20.32467, 101.92590,  79.77130, -20.27142, 113.61497,  79.00240, -19.30154, 135.88647,  79.47691, -19.82393, 142.77296,  77.51397, -28.10202, 144.64962,  68.87485, -29.01730, 144.67252,  69.27703, -20.96023, 144.47092,  65.73673, -21.87551, 144.49382,  66.13890, -15.76605, 133.04861,  81.02517,  -8.36148, 130.74029,  76.24528,  -2.28137, 103.56931,  80.90606,   2.42661,  80.45406,  78.82395,  -0.13535,  78.35212,  77.27590,  -2.23364,  74.17723,  76.06944,  -3.63759,  72.04071,  76.36277,   0.62048,  71.51157,  75.77227,  -0.52351,  68.61849,  75.86221,  -1.37720,  66.79570,  75.81451,   2.51103,  71.63608,  77.00665,   2.05092,  68.34570,  77.25915,   1.69255,  65.73494,  77.46534,   3.64624,  71.56338,  78.75193,   3.73308,  69.02976,  79.77872,   3.67111,  66.79817,  80.55275,   4.60795,  72.60819,  80.34803,   5.13150,  71.01519,  81.54716,   5.58510,  69.55187,  82.62107, -20.66079, 133.21513,  83.21411, -29.27537, 131.45179,  85.59800, -30.95831, 105.27228,  96.02651, -45.00295,  86.23148,  95.02084, -46.41688,  84.87055,  91.93427, -48.77311,  81.61936,  89.25731, -49.14615,  79.46101,  87.90669, -51.34012,  79.84170,  91.62173, -52.34739,  77.16802,  90.38741, -53.01896,  75.51841,  89.44857, -50.94895,  79.57562,  93.83296, -52.26389,  76.56707,  93.26585, -53.30492,  74.17788,  92.82421, -49.99557,  78.79032,  95.51056, -50.50141,  76.11619,  95.78304, -51.00256,  73.80802,  95.84740, -48.53274,  79.01639,  97.05106, -48.57400,  77.11963,  97.85743, -48.62435,  75.38751,  98.56282, -10.10128,  86.41595,  81.41226,  -9.21912,  85.74530,  83.96207,  -8.87309,  50.46238,  94.50893,  -4.96619,  12.56966, 119.21890,  -0.33160,   8.61751, 108.06856, -26.72209,  85.99350,  87.05143, -25.83993,  85.32284,  89.60124, -28.73593,  51.55544,  75.19235, -17.41596,   8.34452,  83.33965, -28.02978,   8.22166,  76.35675
   0.06667, -17.58660,  82.63380,  86.91890, -20.42320, 101.81288,  79.66292, -20.41749, 113.49262,  78.76174, -19.54235, 135.77267,  78.89896, -20.07700, 142.63217,  76.84687, -28.31264, 144.48572,  68.16231, -29.22968, 144.51199,  68.56024, -21.15708, 144.28078,  65.05733, -22.07412, 144.30705,  65.45526, -16.00312, 132.97385,  80.50854,  -8.56461, 130.62375,  75.80228,  -1.66335, 103.63828,  80.39678,   3.72435,  80.67324,  78.30041,   1.25695,  78.49091,  76.71055,  -0.68254,  74.25140,  75.46434,  -2.01817,  72.06828,  75.73243,   2.26334,  71.68364,  75.20275,   1.21581,  68.75364,  75.26955,   0.42448,  66.90342,  75.20536,   4.13060,  71.86802,  76.46477,   3.77746,  68.56340,  76.70318,   3.50386,  65.94155,  76.89828,   5.24226,  71.82861,  78.22621,   5.39912,  69.29653,  79.24848,   5.40081,  67.06202,  80.01652,   6.14522,  72.90069,  79.83848,   6.70447,  71.32286,  81.04152,   7.19129,  69.87262,  82.11864, -20.90968, 133.15326,  82.66982, -29.52901, 131.39034,  85.03682, -31.97522, 105.48183,  95.97839, -46.35248,  86.67845,  95.24190, -47.76705,  85.27601,  92.17426, -50.16297,  82.01099,  89.54990, -50.56607,  79.83051,  88.24420, -52.78237,  80.33509,  91.93111, -53.83030,  77.65404,  90.74769, -54.52552,  75.99688,  89.83987, -52.41423,  80.11099,  94.15094, -53.78154,  77.11587,  93.63932, -54.86422,  74.73747,  93.24178, -51.48955,  79.34542,  95.85354, -52.04837,  76.68803,  96.18076, -52.59384,  74.39171,  96.29188, -50.03520,  79.57814,  97.40105, -50.11905,  77.70092,  98.24879, -50.20804,  75.98619,  98.99184, -10.26848,  86.26562,  81.37555,  -9.38715,  85.60418,  83.92805,  -9.31763,  50.29435,  94.38994,  -5.34607,  13.11897, 120.15662,  -0.75426,   8.72715, 109.15407, -26.88613,  85.94741,  87.03085, -26.00480,  85.28598,  89.58335, -28.63034,  51.18933,  75.91715, -17.34283,   8.11062,  84.77839, -27.83087,   7.78100,  77.61449
   0.07500, -17.65870,  82.58470,  87.13240, -20.50254, 101.68328,  79.66987, -20.48584, 113.35288,  78.64584, -19.56645, 135.63115,  78.50773, -20.11696, 142.45975,  76.35908, -28.42135, 144.21571,  67.71982, -29.33485, 144.25043,  68.12515, -21.29335, 143.94481,  64.55702, -22.20686, 143.97953,  64.96236, -16.01383, 132.84435,  80.10866,  -8.63594, 130.42327,  75.34333,  -1.74100, 103.49207,  80.25487,   3.58287,  80.48970,  78.42114,   1.10538,  78.28859,  76.87343,  -0.84357,  74.03458,  75.69316,  -2.17905,  71.85604,  75.99696,   2.09924,  71.46161,  75.44869,   1.05029,  68.53345,  75.55935,   0.25748,  66.68309,  75.52359,   3.97356,  71.66110,  76.69789,   3.61971,  68.36010,  76.98116,   3.34559,  65.74120,  77.21184,   5.09492,  71.64382,  78.45352,   5.25587,  69.12513,  79.50773,   5.26045,  66.90078,  80.30473,   6.00744,  72.73614,  80.04670,   6.57237,  71.17368,  81.26705,   7.06425,  69.73723,  82.36021, -20.89417, 133.05950,  82.32533, -29.48830, 131.34253,  84.81456, -31.89892, 105.56953,  96.07928, -46.33402,  86.80089,  95.65373, -47.77873,  85.37039,  92.61321, -50.20680,  82.08527,  90.04405, -50.62764,  79.89231,  88.76513, -52.81120,  80.44316,  92.46492, -53.87738,  77.75303,  91.31902, -54.58536,  76.08852,  90.43480, -52.42506,  80.24153,  94.68384, -53.80590,  77.24551,  94.21572, -54.89926,  74.86648,  93.85267, -51.48844,  79.49119,  96.38670, -52.05270,  76.83922,  96.74693, -52.60433,  74.54597,  96.88712, -50.02037,  79.73573,  97.91937, -50.10289,  77.86791,  98.78776, -50.19093,  76.16148,  99.54979, -10.40466,  86.10489,  81.43496,  -9.48908,  85.47181,  83.98259,  -9.73142,  50.17265,  94.47788,  -5.56730,  13.93509, 121.51865,  -1.01321,   9.21217, 110.63824, -26.93817,  85.94964,  87.33825, -26.02259,  85.31656,  89.88588, -28.85230,  51.05579,  76.67858, -17.64072,   8.06807,  86.06262, -28.16265,   7.79755,  78.94610
